timesteps,mean_reward
92,140.463656
93,140.463656
94,140.463656
95,140.463656
96,140.463656
97,140.463656
98,140.463656
99,140.463656
100,140.463656
101,140.463656
102,140.463656
103,140.463656
104,140.463656
105,140.463656
106,140.463656
107,140.463656
108,140.463656
109,140.463656
110,140.463656
111,140.463656
112,140.463656
113,140.463656
114,140.463656
115,140.463656
116,140.463656
117,140.463656
118,140.463656
119,140.463656
120,140.463656
121,140.463656
122,140.463656
123,140.463656
124,140.463656
125,140.463656
126,140.463656
127,140.463656
128,140.463656
129,140.463656
130,140.463656
131,140.463656
132,140.463656
133,140.463656
134,140.463656
135,140.463656
136,140.463656
137,140.463656
138,140.463656
139,140.463656
140,140.463656
141,140.463656
142,140.463656
143,140.463656
144,140.463656
145,140.463656
146,140.463656
147,140.463656
148,140.463656
149,140.463656
150,140.463656
151,140.463656
152,140.463656
153,140.463656
154,140.463656
155,140.463656
156,140.463656
157,140.463656
158,140.463656
159,140.463656
160,140.463656
161,140.463656
162,140.463656
163,140.463656
164,140.463656
165,140.463656
166,140.463656
167,140.463656
168,140.463656
169,140.463656
170,140.463656
171,140.463656
172,140.463656
173,140.463656
174,140.463656
175,140.463656
176,140.463656
177,140.463656
178,140.463656
179,140.463656
180,140.463656
181,140.463656
182,140.463656
183,140.463656
184,140.463656
185,140.463656
186,145.122708
187,145.122708
188,145.122708
189,145.122708
190,145.122708
191,145.122708
192,145.122708
193,145.122708
194,145.122708
195,145.122708
196,145.122708
197,145.122708
198,145.122708
199,145.122708
200,145.122708
201,145.122708
202,145.122708
203,145.122708
204,145.122708
205,145.122708
206,145.122708
207,145.122708
208,145.122708
209,145.122708
210,145.122708
211,145.122708
212,145.122708
213,145.122708
214,145.122708
215,145.122708
216,145.122708
217,145.122708
218,145.122708
219,145.122708
220,145.122708
221,145.122708
222,145.122708
223,145.122708
224,145.122708
225,145.122708
226,145.122708
227,145.122708
228,145.122708
229,145.122708
230,145.122708
231,145.122708
232,145.122708
233,145.122708
234,145.122708
235,145.122708
236,145.122708
237,145.122708
238,145.122708
239,145.122708
240,145.122708
241,145.122708
242,145.122708
243,145.122708
244,145.122708
245,145.122708
246,145.122708
247,145.122708
248,145.122708
249,145.122708
250,145.122708
251,145.122708
252,145.122708
253,145.122708
254,145.122708
255,145.122708
256,145.122708
257,145.122708
258,145.122708
259,145.122708
260,145.122708
261,145.122708
262,145.122708
263,145.122708
264,145.122708
265,145.122708
266,145.122708
267,145.122708
268,145.122708
269,145.122708
270,145.122708
271,145.122708
272,145.122708
273,145.122708
274,145.122708
275,145.122708
276,145.122708
277,145.122708
278,145.122708
279,145.122708
280,145.122708
281,145.122708
282,145.122708
283,145.122708
284,145.122708
285,145.122708
286,145.122708
287,151.27722833333334
288,151.27722833333334
289,151.27722833333334
290,151.27722833333334
291,151.27722833333334
292,151.27722833333334
293,151.27722833333334
294,151.27722833333334
295,151.27722833333334
296,151.27722833333334
297,151.27722833333334
298,151.27722833333334
299,151.27722833333334
300,151.27722833333334
301,151.27722833333334
302,151.27722833333334
303,151.27722833333334
304,151.27722833333334
305,151.27722833333334
306,151.27722833333334
307,151.27722833333334
308,151.27722833333334
309,151.27722833333334
310,151.27722833333334
311,151.27722833333334
312,151.27722833333334
313,151.27722833333334
314,151.27722833333334
315,151.27722833333334
316,151.27722833333334
317,151.27722833333334
318,151.27722833333334
319,151.27722833333334
320,151.27722833333334
321,151.27722833333334
322,151.27722833333334
323,151.27722833333334
324,151.27722833333334
325,151.27722833333334
326,151.27722833333334
327,151.27722833333334
328,151.27722833333334
329,151.27722833333334
330,151.27722833333334
331,151.27722833333334
332,151.27722833333334
333,151.27722833333334
334,151.27722833333334
335,151.27722833333334
336,151.27722833333334
337,151.27722833333334
338,151.27722833333334
339,151.27722833333334
340,151.27722833333334
341,151.27722833333334
342,151.27722833333334
343,151.27722833333334
344,151.27722833333334
345,151.27722833333334
346,151.27722833333334
347,151.27722833333334
348,151.27722833333334
349,151.27722833333334
350,151.27722833333334
351,151.27722833333334
352,151.27722833333334
353,151.27722833333334
354,151.27722833333334
355,151.27722833333334
356,151.27722833333334
357,151.27722833333334
358,151.27722833333334
359,151.27722833333334
360,151.27722833333334
361,151.27722833333334
362,151.27722833333334
363,151.27722833333334
364,151.27722833333334
365,151.27722833333334
366,151.27722833333334
367,151.27722833333334
368,151.27722833333334
369,151.27722833333334
370,151.27722833333334
371,151.27722833333334
372,151.27722833333334
373,151.27722833333334
374,151.27722833333334
375,151.27722833333334
376,151.27722833333334
377,151.27722833333334
378,151.27722833333334
379,151.27722833333334
380,151.27722833333334
381,151.27722833333334
382,151.27722833333334
383,151.27722833333334
384,151.27722833333334
385,151.27722833333334
386,151.27722833333334
387,151.27722833333334
388,151.27722833333334
389,151.27722833333334
390,151.27722833333334
391,155.2305565
392,155.2305565
393,155.2305565
394,155.2305565
395,155.2305565
396,155.2305565
397,155.2305565
398,155.2305565
399,155.2305565
400,155.2305565
401,155.2305565
402,155.2305565
403,155.2305565
404,155.2305565
405,155.2305565
406,155.2305565
407,155.2305565
408,155.2305565
409,155.2305565
410,155.2305565
411,155.2305565
412,155.2305565
413,155.2305565
414,155.2305565
415,155.2305565
416,155.2305565
417,155.2305565
418,155.2305565
419,155.2305565
420,155.2305565
421,155.2305565
422,155.2305565
423,155.2305565
424,155.2305565
425,155.2305565
426,155.2305565
427,155.2305565
428,155.2305565
429,155.2305565
430,155.2305565
431,155.2305565
432,155.2305565
433,155.2305565
434,155.2305565
435,155.2305565
436,155.2305565
437,155.2305565
438,155.2305565
439,155.2305565
440,155.2305565
441,155.2305565
442,155.2305565
443,155.2305565
444,155.2305565
445,155.2305565
446,155.2305565
447,155.2305565
448,155.2305565
449,155.2305565
450,155.2305565
451,155.2305565
452,155.2305565
453,155.2305565
454,155.2305565
455,155.2305565
456,155.2305565
457,155.2305565
458,155.2305565
459,155.2305565
460,155.2305565
461,155.2305565
462,155.2305565
463,155.2305565
464,155.2305565
465,155.2305565
466,155.2305565
467,155.2305565
468,155.2305565
469,155.2305565
470,155.2305565
471,155.2305565
472,155.2305565
473,155.2305565
474,155.2305565
475,155.2305565
476,155.2305565
477,155.2305565
478,155.2305565
479,155.2305565
480,155.2305565
481,155.2305565
482,155.2305565
483,155.2305565
484,155.2305565
485,155.2305565
486,155.2305565
487,155.2305565
488,155.2305565
489,155.2305565
490,155.2305565
491,155.2305565
492,155.2305565
493,155.2305565
494,155.2305565
495,155.2305565
496,155.2305565
497,155.2305565
498,155.2305565
499,155.2305565
500,155.2305565
501,160.13632280000002
502,160.13632280000002
503,160.13632280000002
504,160.13632280000002
505,160.13632280000002
506,160.13632280000002
507,160.13632280000002
508,160.13632280000002
509,160.13632280000002
510,160.13632280000002
511,160.13632280000002
512,160.13632280000002
513,160.13632280000002
514,160.13632280000002
515,160.13632280000002
516,160.13632280000002
517,160.13632280000002
518,160.13632280000002
519,160.13632280000002
520,160.13632280000002
521,160.13632280000002
522,160.13632280000002
523,160.13632280000002
524,160.13632280000002
525,160.13632280000002
526,160.13632280000002
527,160.13632280000002
528,160.13632280000002
529,160.13632280000002
530,160.13632280000002
531,160.13632280000002
532,160.13632280000002
533,160.13632280000002
534,160.13632280000002
535,160.13632280000002
536,160.13632280000002
537,160.13632280000002
538,160.13632280000002
539,160.13632280000002
540,160.13632280000002
541,160.13632280000002
542,160.13632280000002
543,160.13632280000002
544,160.13632280000002
545,160.13632280000002
546,160.13632280000002
547,160.13632280000002
548,160.13632280000002
549,160.13632280000002
550,160.13632280000002
551,160.13632280000002
552,160.13632280000002
553,160.13632280000002
554,160.13632280000002
555,160.13632280000002
556,160.13632280000002
557,160.13632280000002
558,160.13632280000002
559,160.13632280000002
560,160.13632280000002
561,160.13632280000002
562,160.13632280000002
563,160.13632280000002
564,160.13632280000002
565,160.13632280000002
566,160.13632280000002
567,160.13632280000002
568,160.13632280000002
569,160.13632280000002
570,160.13632280000002
571,160.13632280000002
572,160.13632280000002
573,160.13632280000002
574,160.13632280000002
575,160.13632280000002
576,160.13632280000002
577,160.13632280000002
578,160.13632280000002
579,160.13632280000002
580,160.13632280000002
581,160.13632280000002
582,160.13632280000002
583,160.13632280000002
584,160.13632280000002
585,160.13632280000002
586,160.13632280000002
587,160.13632280000002
588,160.13632280000002
589,160.13632280000002
590,160.13632280000002
591,160.13632280000002
592,160.13632280000002
593,157.62227183333334
594,157.62227183333334
595,157.62227183333334
596,157.62227183333334
597,157.62227183333334
598,157.62227183333334
599,157.62227183333334
600,157.62227183333334
601,157.62227183333334
602,157.62227183333334
603,157.62227183333334
604,157.62227183333334
605,157.62227183333334
606,157.62227183333334
607,157.62227183333334
608,157.62227183333334
609,157.62227183333334
610,157.62227183333334
611,157.62227183333334
612,157.62227183333334
613,157.62227183333334
614,157.62227183333334
615,157.62227183333334
616,157.62227183333334
617,157.62227183333334
618,157.62227183333334
619,157.62227183333334
620,157.62227183333334
621,157.62227183333334
622,157.62227183333334
623,157.62227183333334
624,157.62227183333334
625,157.62227183333334
626,157.62227183333334
627,157.62227183333334
628,157.62227183333334
629,157.62227183333334
630,157.62227183333334
631,157.62227183333334
632,157.62227183333334
633,157.62227183333334
634,157.62227183333334
635,157.62227183333334
636,157.62227183333334
637,157.62227183333334
638,157.62227183333334
639,157.62227183333334
640,157.62227183333334
641,157.62227183333334
642,157.62227183333334
643,157.62227183333334
644,157.62227183333334
645,157.62227183333334
646,157.62227183333334
647,157.62227183333334
648,157.62227183333334
649,157.62227183333334
650,157.62227183333334
651,157.62227183333334
652,157.62227183333334
653,157.62227183333334
654,157.62227183333334
655,157.62227183333334
656,157.62227183333334
657,157.62227183333334
658,157.62227183333334
659,157.62227183333334
660,157.62227183333334
661,157.62227183333334
662,157.62227183333334
663,157.62227183333334
664,157.62227183333334
665,157.62227183333334
666,157.62227183333334
667,157.62227183333334
668,157.62227183333334
669,157.62227183333334
670,157.62227183333334
671,157.62227183333334
672,157.62227183333334
673,157.62227183333334
674,157.62227183333334
675,157.62227183333334
676,157.62227183333334
677,157.62227183333334
678,157.62227183333334
679,157.62227183333334
680,157.62227183333334
681,157.62227183333334
682,157.62227183333334
683,157.62227183333334
684,157.62227183333334
685,157.62227183333334
686,157.62227183333334
687,157.62227183333334
688,157.62227183333334
689,157.62227183333334
690,157.62227183333334
691,157.62227183333334
692,157.62227183333334
693,157.62227183333334
694,157.62227183333334
695,157.62227183333334
696,157.62227183333334
697,159.13666514285714
698,159.13666514285714
699,159.13666514285714
700,159.13666514285714
701,159.13666514285714
702,159.13666514285714
703,159.13666514285714
704,159.13666514285714
705,159.13666514285714
706,159.13666514285714
707,159.13666514285714
708,159.13666514285714
709,159.13666514285714
710,159.13666514285714
711,159.13666514285714
712,159.13666514285714
713,159.13666514285714
714,159.13666514285714
715,159.13666514285714
716,159.13666514285714
717,159.13666514285714
718,159.13666514285714
719,159.13666514285714
720,159.13666514285714
721,159.13666514285714
722,159.13666514285714
723,159.13666514285714
724,159.13666514285714
725,159.13666514285714
726,159.13666514285714
727,159.13666514285714
728,159.13666514285714
729,159.13666514285714
730,159.13666514285714
731,159.13666514285714
732,159.13666514285714
