timesteps,mean_reward
90,140.650635
91,140.650635
92,140.650635
93,140.650635
94,140.650635
95,140.650635
96,140.650635
97,140.650635
98,140.650635
99,140.650635
100,140.650635
101,140.650635
102,140.650635
103,140.650635
104,140.650635
105,140.650635
106,140.650635
107,140.650635
108,140.650635
109,140.650635
110,140.650635
111,140.650635
112,140.650635
113,140.650635
114,140.650635
115,140.650635
116,140.650635
117,140.650635
118,140.650635
119,140.650635
120,140.650635
121,140.650635
122,140.650635
123,140.650635
124,140.650635
125,140.650635
126,140.650635
127,140.650635
128,140.650635
129,140.650635
130,140.650635
131,140.650635
132,140.650635
133,140.650635
134,140.650635
135,140.650635
136,140.650635
137,140.650635
138,140.650635
139,140.650635
140,140.650635
141,140.650635
142,140.650635
143,140.650635
144,140.650635
145,140.650635
146,140.650635
147,140.650635
148,140.650635
149,140.650635
150,140.650635
151,140.650635
152,140.650635
153,140.650635
154,140.650635
155,140.650635
156,140.650635
157,140.650635
158,140.650635
159,140.650635
160,140.650635
161,140.650635
162,140.650635
163,140.650635
164,140.650635
165,140.650635
166,140.650635
167,140.650635
168,140.650635
169,140.650635
170,140.650635
171,140.650635
172,140.650635
173,140.650635
174,140.650635
175,140.650635
176,140.650635
177,140.650635
178,140.650635
179,140.650635
180,140.650635
181,140.650635
182,140.650635
183,140.650635
184,140.650635
185,140.650635
186,140.650635
187,140.650635
188,140.650635
189,140.650635
190,140.650635
191,140.650635
192,140.650635
193,152.84483949999998
194,152.84483949999998
195,152.84483949999998
196,152.84483949999998
197,152.84483949999998
198,152.84483949999998
199,152.84483949999998
200,152.84483949999998
201,152.84483949999998
202,152.84483949999998
203,152.84483949999998
204,152.84483949999998
205,152.84483949999998
206,152.84483949999998
207,152.84483949999998
208,152.84483949999998
209,152.84483949999998
210,152.84483949999998
211,152.84483949999998
212,152.84483949999998
213,152.84483949999998
214,152.84483949999998
215,152.84483949999998
216,152.84483949999998
217,152.84483949999998
218,152.84483949999998
219,152.84483949999998
220,152.84483949999998
221,152.84483949999998
222,152.84483949999998
223,152.84483949999998
224,152.84483949999998
225,152.84483949999998
226,152.84483949999998
227,152.84483949999998
228,152.84483949999998
229,152.84483949999998
230,152.84483949999998
231,152.84483949999998
232,152.84483949999998
233,152.84483949999998
234,152.84483949999998
235,152.84483949999998
236,152.84483949999998
237,152.84483949999998
238,152.84483949999998
239,152.84483949999998
240,152.84483949999998
241,152.84483949999998
242,152.84483949999998
243,152.84483949999998
244,152.84483949999998
245,152.84483949999998
246,152.84483949999998
247,152.84483949999998
248,152.84483949999998
249,152.84483949999998
250,152.84483949999998
251,152.84483949999998
252,152.84483949999998
253,152.84483949999998
254,152.84483949999998
255,152.84483949999998
256,152.84483949999998
257,152.84483949999998
258,152.84483949999998
259,152.84483949999998
260,152.84483949999998
